name,year,selling_price,km_driven,transmission,owner,seats,max_power (in bph),Mileage
Maruti,2014,450000,145500,Manual,First Owner,5,74.0,23.4
Hyundai,2010,225000,127000,Manual,First Owner,5,90.0,23.0
Hyundai,2017,440000,45000,Manual,First Owner,5,81.86,20.14
Toyota,2011,350000,90000,Manual,First Owner,5,67.1,23.59
Ford,2013,200000,169000,Manual,First Owner,5,68.1,20.0
Hyundai,2012,500000,53000,Manual,Second Owner,5,90.0,23.0
Maruti,2002,150000,80000,Manual,Second Owner,5,46.3,19.7
Hyundai,2016,680000,100000,Manual,First Owner,5,88.73,22.54
Mahindra,2011,174000,100000,Manual,Second Owner,5,64.1,21.0
Maruti,2012,600000,72000,Manual,First Owner,5,88.8,21.5
Tata,2018,500000,35000,Manual,First Owner,5,83.81,20.3
Maruti,2016,575000,45000,Manual,First Owner,5,83.1,21.4
Maruti,2018,850000,64000,Manual,First Owner,5,103.25,20.65
Tata,2011,265000,120000,Manual,First Owner,5,88.8,21.12
Hyundai,2011,190000,110000,Manual,Third Owner,5,78.9,20.36
Hyundai,2013,425000,60000,Manual,First Owner,5,88.76,21.27
Maruti,2019,650000,30000,Manual,First Owner,5,83.1,21.4
Volkswagen,2016,540000,40000,Manual,First Owner,5,108.495,22.0
Maruti,2018,448000,30000,Automatic,First Owner,5,67.0,20.51
Volkswagen,2017,500000,80000,Manual,First Owner,5,108.62,21.66
Hyundai,2011,235000,60000,Manual,Second Owner,5,78.9,20.36
Maruti,2013,450000,120000,Manual,Second Owner,5,74.0,22.9
Volkswagen,2013,450000,170000,Manual,First Owner,5,103.6,20.54
Ford,2015,610000,90000,Manual,First Owner,5,98.59,22.77
Maruti,2017,484999,10000,Manual,First Owner,5,67.04,23.1
Hyundai,2012,290000,28000,Manual,First Owner,5,68.05,19.81
Hyundai,2015,351000,45000,Manual,Second Owner,5,68.05,19.81
Maruti,2008,120000,68000,Manual,Third Owner,5,46.3,19.7
Hyundai,2017,725000,110000,Manual,First Owner,5,88.73,22.54
Maruti,2009,185000,77000,Manual,Second Owner,5,67.05,21.79
Maruti,2019,615000,10000,Manual,First Owner,5,81.8,21.21
Maruti,2018,610000,35000,Manual,First Owner,5,83.1,21.4
Hyundai,2013,522000,150000,Manual,Second Owner,5,126.32,22.32
Hyundai,2013,451999,69000,Manual,First Owner,5,88.76,21.9
Maruti,2020,475000,13000,Manual,First Owner,5,67.04,21.63
Maruti,2017,595000,40000,Manual,First Owner,5,83.14,20.85
Maruti,2017,440000,35000,Manual,First Owner,5,67.04,20.51
Hyundai,2016,1140000,50000,Manual,First Owner,5,126.2,19.67
Ford,2017,850000,76139,Manual,First Owner,5,98.96,23.0
Renault,2018,350000,25000,Manual,First Owner,5,67.0,23.01
Maruti,2015,360000,40000,Manual,Second Owner,5,67.04,23.1
Maruti,2008,105000,65000,Manual,Fourth & Above Owner,5,46.3,19.7
Maruti,2013,625000,90000,Manual,Second Owner,7,88.76,20.77
Maruti,2015,700000,110000,Manual,Second Owner,7,88.76,20.77
Maruti,2012,340000,24300,Manual,First Owner,5,81.8,21.21
Tata,2018,1025000,8000,Automatic,First Owner,5,108.5,21.5
Volkswagen,2011,300000,100000,Manual,Second Owner,5,103.6,20.54
Ford,2011,160000,120000,Manual,First Owner,5,68.0,20.0
Maruti,2015,515000,36600,Manual,First Owner,5,81.8,20.4
Maruti,2015,390000,50000,Automatic,Second Owner,5,67.0,20.51
Maruti,2010,220000,120000,Manual,First Owner,5,73.9,21.1
Toyota,2010,300000,60000,Manual,First Owner,5,87.2,21.43
Tata,2017,490000,90000,Manual,First Owner,5,74.0,22.95
Maruti,2016,459999,60000,Manual,Second Owner,5,83.14,20.85
Tata,2019,520000,14000,Manual,First Owner,5,84.0,20.3
Maruti,2015,580000,70000,Manual,First Owner,7,88.76,20.77
Maruti,2017,550000,50000,Manual,First Owner,5,83.14,20.85
Maruti,2018,420000,35000,Automatic,First Owner,5,67.0,20.51
Maruti,2017,550000,20000,Manual,First Owner,5,81.8,21.21
Maruti,2018,700000,7800,Automatic,First Owner,5,81.8,22.0
Maruti,2017,500000,20000,Manual,First Owner,5,81.8,20.4
Maruti,2015,290000,60000,Manual,First Owner,5,67.04,20.51
Maruti,2018,830000,5000,Automatic,First Owner,5,83.1,21.4
Maruti,2011,160000,25000,Manual,Second Owner,5,46.3,19.7
Hyundai,2020,524000,32000,Manual,First Owner,5,81.86,20.14
Maruti,2015,245000,40000,Manual,First Owner,5,47.3,22.74
Maruti,2016,350000,140000,Manual,First Owner,5,67.04,20.51
Maruti,2010,250000,110000,Manual,Second Owner,5,73.9,21.1
Hyundai,2017,1100000,37000,Manual,First Owner,5,126.2,19.67
Maruti,2015,640000,80000,Manual,First Owner,7,88.76,20.77
Maruti,2013,550000,70000,Manual,First Owner,5,74.0,23.4
Hyundai,2009,200000,53000,Manual,Second Owner,5,78.9,20.36
Maruti,2014,500000,120000,Manual,Second Owner,5,74.0,23.4
Maruti,2015,350000,100000,Manual,First Owner,5,83.11,20.4
Hyundai,2017,800000,39000,Manual,First Owner,5,88.73,22.54
Hyundai,2013,530000,92500,Manual,First Owner,5,126.3,22.32
Maruti,2012,360000,158000,Manual,First Owner,5,74.0,23.4
Maruti,2015,525000,20000,Manual,First Owner,5,83.14,20.85
Maruti,2014,375000,80000,Manual,First Owner,5,81.8,20.4
Hyundai,2015,500000,70000,Manual,Fourth & Above Owner,5,88.73,22.54
Tata,2012,290000,60000,Manual,First Owner,5,88.76,21.02
Maruti,2005,110000,45000,Manual,Second Owner,5,46.3,19.7
Maruti,2016,520000,20000,Manual,First Owner,5,81.8,20.4
Maruti,2019,675000,16500,Manual,First Owner,5,81.8,21.01
Maruti,2005,90000,99361,Manual,Second Owner,5,46.3,19.7
Tata,2018,645000,10000,Automatic,First Owner,5,84.0,20.3
Maruti,2017,409999,47000,Manual,First Owner,5,67.04,20.51
Hyundai,2018,1210000,25000,Manual,First Owner,5,88.7,21.38
Maruti,2016,650000,50000,Automatic,First Owner,5,83.1,21.4
Maruti,2014,400000,50000,Manual,First Owner,5,81.8,20.4
Maruti,2017,351000,36000,Manual,First Owner,5,67.04,23.1
Maruti,2011,185000,185000,Manual,Third Owner,5,73.9,21.1
Maruti,2005,85000,80000,Manual,Fourth & Above Owner,5,46.3,19.7
Maruti,2013,480000,110000,Manual,Third Owner,7,88.76,20.77
Ford,2010,170000,90000,Manual,Second Owner,5,68.0,20.0
Maruti,2018,610000,52000,Manual,First Owner,5,81.8,22.0
Renault,2018,390000,13000,Manual,First Owner,5,53.26,20.71
Toyota,2013,400000,70000,Manual,Second Owner,5,67.06,23.59
Hyundai,2009,215000,60000,Manual,First Owner,5,78.9,20.36
Renault,2014,570000,40000,Manual,First Owner,5,83.8,20.45
Hyundai,2010,140000,70000,Manual,Fourth & Above Owner,5,78.9,20.36
Maruti,2013,225000,58343,Manual,First Owner,5,67.05,21.79
Maruti,2019,650000,5621,Automatic,First Owner,5,81.8,22.0
Maruti,2018,600000,69779,Automatic,First Owner,5,81.8,22.0
Hyundai,2010,150000,106000,Manual,Third Owner,5,78.9,20.36
Hyundai,2014,535000,70000,Manual,Third Owner,5,126.32,22.32
Maruti,2012,300000,100000,Manual,Second Owner,5,88.8,21.5
Maruti,2016,240000,50000,Manual,First Owner,5,47.3,22.74
Maruti,2020,409999,35000,Manual,First Owner,5,61.7,20.88
Maruti,2010,150000,80000,Manual,First Owner,5,67.1,20.92
Hyundai,2013,219000,50000,Manual,Second Owner,5,55.2,21.1
Hyundai,2017,950000,45000,Manual,First Owner,5,88.7,21.38
Maruti,2010,160000,80000,Manual,Second Owner,5,46.3,19.7
Toyota,2013,450000,67000,Manual,First Owner,5,67.1,23.59
Maruti,2013,530000,120000,Manual,Second Owner,5,74.0,23.4
Volkswagen,2015,520000,110000,Manual,Second Owner,5,88.8,20.14
Mahindra,2011,229999,170000,Manual,Second Owner,5,64.1,21.0
Maruti,2014,320000,50000,Manual,First Owner,5,67.04,23.1
Ford,2015,292000,70000,Manual,First Owner,5,68.05,20.0
Maruti,2014,385000,25000,Manual,First Owner,5,67.04,23.1
Maruti,2019,675000,10000,Manual,First Owner,5,81.8,21.21
Ford,2018,950000,30000,Manual,First Owner,5,98.96,23.0
Hyundai,2015,610000,50000,Manual,Second Owner,5,88.73,21.19
Hyundai,2012,525000,120000,Manual,First Owner,5,88.73,22.54
Maruti,2015,434999,50000,Manual,Second Owner,5,83.11,20.4
Renault,2018,1050000,18000,Manual,First Owner,5,108.45,19.6
Ford,2013,300000,60000,Manual,Second Owner,5,90.0,23.5
Hyundai,2008,229999,50000,Manual,First Owner,5,68.05,19.81
Hyundai,2018,500000,60000,Manual,First Owner,5,81.86,20.14
Maruti,2014,250000,25000,Manual,First Owner,5,47.3,22.74
Volkswagen,2011,250000,70000,Manual,Second Owner,5,103.6,20.54
Toyota,2013,409999,45000,Manual,First Owner,5,67.06,23.59
Maruti,2016,270000,50000,Manual,First Owner,5,47.3,22.74
Maruti,2011,165000,90000,Manual,First Owner,5,67.1,20.92
Hyundai,2013,180000,60000,Manual,First Owner,5,55.2,21.1
Maruti,2009,125000,60000,Manual,Third Owner,5,46.3,19.7
Volkswagen,2012,450000,90000,Manual,First Owner,5,103.6,20.54
Maruti,2011,210000,46000,Manual,First Owner,5,67.1,20.92
Hyundai,2017,320000,15000,Manual,Second Owner,5,55.2,21.1
Maruti,2009,130000,70000,Manual,Second Owner,5,46.3,19.7
Ford,2013,200000,70000,Manual,Second Owner,5,67.0,19.68
Maruti,2002,140000,50000,Manual,Second Owner,5,46.3,19.7
Maruti,2015,236000,60000,Manual,First Owner,5,47.3,22.74
Maruti,2015,390000,40000,Manual,First Owner,5,67.04,20.51
Hyundai,2016,850000,58000,Manual,First Owner,5,126.2,19.67
Hyundai,2017,300000,10000,Manual,First Owner,5,55.2,21.1
Hyundai,2019,466000,25000,Automatic,Fourth & Above Owner,5,68.0,20.3
Ford,2014,484999,54000,Manual,First Owner,5,98.96,23.0
Hyundai,2011,220000,120000,Manual,Second Owner,5,90.0,23.0
Maruti,2013,630000,120000,Manual,Second Owner,7,88.8,20.77
Hyundai,2013,525000,75000,Automatic,First Owner,5,126.3,22.32
Ford,2013,245000,70000,Manual,Second Owner,5,68.1,20.0
Hyundai,2012,210000,76000,Manual,Fourth & Above Owner,5,78.9,20.36
Maruti,2020,730000,1500,Manual,First Owner,5,81.8,21.21
Maruti,2015,400000,40000,Manual,First Owner,5,67.04,20.51
Hyundai,2015,280000,60000,Manual,Second Owner,5,55.2,21.1
Volkswagen,2017,700000,40906,Manual,First Owner,5,108.62,21.66
Hyundai,2012,270000,43755,Manual,Second Owner,5,55.2,21.1
Hyundai,2011,400000,221889,Manual,First Owner,5,126.32,22.32
Maruti,2015,500000,150546,Manual,First Owner,5,81.8,22.0
Hyundai,2011,200000,80000,Manual,First Owner,5,68.05,19.81
Renault,2016,350000,25000,Manual,First Owner,5,67.0,23.01
Maruti,2013,200000,24000,Manual,First Owner,5,47.3,22.74
Ford,2012,300000,70000,Manual,Second Owner,5,68.0,20.0
Hyundai,2008,135000,80000,Manual,Second Owner,5,68.05,19.81
Maruti,2011,300000,70000,Manual,Second Owner,5,74.0,22.9
Maruti,2014,420000,80000,Manual,First Owner,5,74.0,23.4
Hyundai,2015,235000,50000,Manual,First Owner,5,55.2,21.1
Ford,2016,650000,125000,Manual,First Owner,5,98.59,22.77
Maruti,2016,350000,80000,Manual,First Owner,5,67.04,20.51
Hyundai,2010,270000,90000,Manual,Third Owner,5,90.0,23.0
Tata,2017,450000,50000,Manual,First Owner,5,74.0,22.95
Hyundai,2008,275000,98000,Manual,Third Owner,5,78.9,20.36
Maruti,2012,215000,90000,Manual,Third Owner,5,46.3,19.7
Maruti,2019,655000,25000,Manual,First Owner,5,81.8,21.21
Ford,2019,800000,30000,Manual,Third Owner,5,98.96,23.0
Volkswagen,2011,300000,72000,Manual,Second Owner,5,103.6,20.54
Maruti,2015,320000,50000,Manual,Second Owner,5,67.04,20.51
Hyundai,2010,210000,20000,Manual,First Owner,5,68.05,19.81
Renault,2016,300000,50000,Manual,First Owner,5,67.0,23.01
Hyundai,2015,290000,17000,Manual,First Owner,5,55.2,21.1
Maruti,2016,395000,50000,Manual,First Owner,5,67.04,23.1
Hyundai,2014,195000,65000,Manual,Second Owner,5,55.2,21.1
Hyundai,2015,715000,50000,Manual,First Owner,5,88.73,22.54
Hyundai,2012,335000,135000,Manual,First Owner,5,88.76,21.9
Maruti,2014,300000,35000,Manual,First Owner,5,67.04,23.1
Tata,2013,280000,80000,Manual,First Owner,5,88.76,21.02
Hyundai,2018,500000,10000,Manual,First Owner,5,81.86,20.14
Renault,2017,300000,35000,Manual,First Owner,5,67.0,23.01
Volkswagen,2014,350000,60000,Manual,Second Owner,5,88.8,20.14
Maruti,2015,450000,30000,Manual,First Owner,5,81.8,20.4
Hyundai,2011,180000,80000,Manual,Second Owner,5,55.2,21.1
Hyundai,2013,200000,80000,Manual,Second Owner,5,55.2,21.1
Maruti,2005,85000,150000,Manual,Second Owner,5,46.3,19.7
Volkswagen,2010,275000,80000,Manual,Fourth & Above Owner,5,73.9,22.07
Hyundai,2012,321000,100000,Manual,Second Owner,5,90.0,23.0
Tata,2012,250000,40000,Manual,First Owner,5,74.0,22.3
Maruti,2010,165000,30000,Manual,Third Owner,5,46.3,19.7
Maruti,2013,430000,86000,Manual,Second Owner,5,74.0,22.9
Renault,2018,400000,60000,Manual,First Owner,5,67.0,23.01
Maruti,2015,430000,5000,Manual,First Owner,5,67.04,20.51
Maruti,2017,573000,30000,Manual,First Owner,5,81.8,20.4
Hyundai,2015,210000,40000,Manual,First Owner,5,55.2,21.1
